rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,326,"Cartuchos para armas, sin bala †",1.1C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons, blank †"
,,327,"Cartuchos para armas de pequeño calibre, sin bala †",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges, small arms, blank †"
,,327,"Cartuchos para armas, sin bala †",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons, blank †"
,,328,"Cartuchos para armas, con proyectil inerte †",1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons, inert projectile †"
,,329,"Torpedos † 
con carga explosiva",1.1E,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Torpedoes † 
with bursting charge"
,,330,"Torpedos † 
con carga explosiva",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Torpedoes † 
with bursting charge"
,,331,Agentes para voladuras del tipo B †,1.5D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Agent, blasting type B †"
,,331,"Explosivos para voladuras, Tipo B †",1.5D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Explosive, blasting, type B †"
,,332,Agentes para voladuras del tipo E †,1.5D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Agent, blasting type E †"
,,332,"Explosivos para voladuras, Tipo E †",1.5D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Explosive, blasting, type E †"
,,333,Artificios de pirotecnia †,1.1G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Fireworks †
,,334,Artificios de pirotecnia †,1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Fireworks †
,,335,Artificios de pirotecnia †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Fireworks †
,,336,Artificios de pirotecnia †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,Fireworks †
,,337,Artificios de pirotecnia †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,135,25 kg,135,100 kg,A802,3L,Fireworks †
,,338,"Cartuchos para armas de pequeño calibre, sin bala †",1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Cartridges, small arms, blank †"
,,338,"Cartuchos para armas, sin bala †",1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Cartridges for weapons, blank †"
,,339,"Cartuchos para armas, con proyectil inerte †",1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Cartridges for weapons, inert projectile †"
,,339,Cartuchos para armas de pequeño calibre †,1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Cartridges, small arms †"
,,340,"Nitrocelulosa
seca o humidificada con menos del 25%, en peso, de agua (o de alcohol)",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A216,1L,"Nitrocellulose
dry or wetted with less than 25% water (or alcohol), by weight"
,,341,"Nitrocelulosa
sin modificar o plastificada con menos del 18%, por peso, de plastificante",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A216,1L,"Nitrocellulose
unmodified or plasticized with less than 18% plasticizing substance, by weight"
,,342,"Nitrocelulosa, humidificada
con un mínimo del 25%, en peso, de alcohol",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A216,1L,"Nitrocellulose, wetted
with 25% or more alcohol, by weight"
,,343,"Nitrocelulosa plastificada
con 18% ó más, en peso, de plastificante",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A216,1L,"Nitrocellulose, plasticized
with 18% or more plasticizing substance, by weight"
,,344,"Proyectiles † 
con carga explosiva",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Projectiles † 
with bursting charge"
,,345,"Proyectiles † 
inertes con trazador",1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,130,25 kg,130,100 kg,A802,3L,"Projectiles † 
inert with tracer"
,,346,"Proyectiles † 
con carga dispersora o carga expulsora",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Projectiles † 
with burster or expelling charge"
,,347,"Proyectiles † 
con carga dispersora o carga expulsora",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Projectiles † 
with burster or expelling charge"
,,348,"Cartuchos para armas † 
con carga explosiva",1.4F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons † 
with bursting charge"
,,349,"Objetos explosivos, n.e.p. ★",1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,101,25 kg,101,100 kg,"A62
A165
A802",3L,"Articles, explosive, n.o.s. ★"
,,350,"Objetos explosivos, n.e.p. ★",1.4B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A62,1L,"Articles, explosive, n.o.s. ★"
,,351,"Objetos explosivos, n.e.p. ★",1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,101,75 kg,"A62
A802",1L,"Articles, explosive, n.o.s. ★"
,,352,"Objetos explosivos, n.e.p. ★",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,101,75 kg,"A62
A802",1L,"Articles, explosive, n.o.s. ★"
,,353,"Objetos explosivos, n.e.p. ★",1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,101,75 kg,"A62
A802",1L,"Articles, explosive, n.o.s. ★"
,,354,"Objetos explosivos, n.e.p. ★",1.1L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A62,1L,"Articles, explosive, n.o.s. ★"
,,355,"Objetos explosivos, n.e.p. ★",1.2L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A62,1L,"Articles, explosive, n.o.s. ★"
,,356,"Objetos explosivos, n.e.p. ★",1.3L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A62,1L,"Articles, explosive, n.o.s. ★"
,,357,"Sustancias explosivas, n.e.p. ★",1.1L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Substances, explosive, n.o.s. ★"
,,358,"Sustancias explosivas, n.e.p. ★",1.2L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Substances, explosive, n.o.s. ★"
,,359,"Sustancias explosivas, n.e.p. ★",1.3L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Substances, explosive, n.o.s. ★"
,,360,"Conjuntos de detonadores no eléctricos † 
para voladuras",1.1B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Detonator assemblies, non-electric † 
for blasting"
,,361,"Conjuntos de detonadores no eléctricos † 
para voladuras",1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,131,75 kg,A802,1L,"Detonator assemblies, non-electric † 
for blasting"
,,362,Municiones de ejercicios †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Ammunition, practice †"
,,363,Municiones de prueba †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Ammunition, proof †"
,,364,Detonadores para municiones †,1.2B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Detonators for ammunition †
,,365,Detonadores para municiones †,1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,133,75 kg,A802,1L,Detonators for ammunition †
,,366,Detonadores para municiones †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,133,25 kg,133,100 kg,"A165
A802",3L,Detonators for ammunition †
,,367,Espoletas detonantes †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,141,25 kg,141,100 kg,"A165
A802",3L,"Fuzes, detonating †"
,,368,Mechas de ignición †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,141,25 kg,141,100 kg,A802,3L,"Fuzes, igniting †"
,,369,"Cabezas de cohete † 
con carga dispersora",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Warheads, rocket † 
with bursting charge"
,,370,"Cabezas de cohete † 
con carga dispersora o carga expulsora",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Warheads, rocket † 
with burster or expelling charge"
,,371,"Cabezas de cohete † 
con carga dispersora o carga expulsora",1.4F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Warheads, rocket † 
with burster or expelling charge"
,,372,"Granadas de ejercicios † 
de mano o de fusil",1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades, practice † 
hand or rifle"
,,373,Artificios manuales de pirotecnia para señales †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,135,25 kg,135,100 kg,A802,3L,"Signal devices, hand †"
,,374,Cargas explosivas para sondeos †,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sounding devices, explosive †"
,,375,Cargas explosivas para sondeos †,1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sounding devices, explosive †"
,,376,Cebos tubulares †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,133,25 kg,133,100 kg,A802,3L,"Primers, tubular †"
,,377,Cebos del tipo de cápsula †,1.1B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Primers, cap type †"
,,378,Cebos del tipo de cápsula †,1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,133,75 kg,A802,1L,"Primers, cap type †"
,,379,Cartuchos vacíos con fulminante †,1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,136,75 kg,A802,1L,"Cases, cartridge, empty, with primer †"
,,380,Objetos pirofóricos †,1.2L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1S,"Articles, pyrophoric †"
,,381,Cartuchos de accionamiento †,1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges, power device †"
,,382,"Componentes de cadenas de explosivos, n.e.p. ★ †",1.2B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Components, explosive train, n.o.s. † ★"
,,383,"Componentes de cadenas de explosivos, n.e.p. ★ †",1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,101,75 kg,"A62
A802",1L,"Components, explosive train, n.o.s. † ★"
,,384,"Componentes de cadenas de explosivos, n.e.p. ★ †",1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,101,25 kg,101,100 kg,"A62
A165
A802",3L,"Components, explosive train, n.o.s. † ★"
,,385,5-Nitrobenzotriazol,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,5-Nitrobenzotriazol
,,386,Ácido trinitrobencenosulfónico,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrobenzenesulphonic acid
,,387,Trinitrofluorenona,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrofluorenone
,,388,Mezcla de TNT y hexanitroestilbeno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,TNT and hexanitrostilbene mixture
,,388,Mezcla de TNT y trinitrobenceno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,TNT and trinitrobenzene mixture
,,388,Mezcla de trinitrotolueno y hexanitroestilbeno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrotoluene and hexanitrostilbene mixture
,,388,Mezcla de trinitrotolueno y trinitrobenceno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrotoluene and trinitrobenzene mixture
,,389,TNT en mezcla con trinitrobenceno y hexanitroestilbeno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,TNT mixture containing trinitrobenzene and hexanitrostilbene
,,389,Trinitrotolueno en mezcla que contengan trinitrobenceno y hexanitroestibeno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrotoluene mixture containing Trinitrobenzene and hexanitrostilbene
,,390,Tritonal,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Tritonal
,,391,"Mezcla de ciclonita y ciclotetrametilentetramina, desensibilizada
con un mínimo del 10%, en peso, de flemador",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cyclonite and cyclotetramethylenetetranitramine mixture, desensitized
with not less than 10% phlegmatizer, by weight"
,,391,"Mezcla de ciclonita y ciclotetrametilentetramina, humedificadas
con un mínimo del 15%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cyclonite and cyclotetramethylenetetranitramine mixture, wetted
with not less than 15% water, by weight"
,,391,"Mezcla de ciclotrimetilentrinitramina y ciclotetrametilentetranitramina, desensibilizada
con un mínimo del 10%, en peso, de flemador",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cyclotrimethylenetrinitramine and cyclotetramethylenetetranitramine mixture, desensitized
with not less than 10% phlegmatiser, by weight"
,,391,"Mezcla de ciclotrimetilentrinitramina y ciclotetrametilentetranitramina, humidificada
con un mínimo del 15%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cyclotrimethylenetrinitramine and cyclotetramethylenetetranitramine mixture, wetted
with 15% or more water, by weight"
,,391,"Mezcla de hexógeno y ciclotetrametilentetramina, desensibilizada
con no menos del 10% de flemador, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Hexogen and cyclotetramethylenetetranitramine mixture, desensitized
with not less than 10% phlegmatizer, by weight"
,,391,"Mezcla de hexógeno y ciclotetrametilentetramina, humidificada
con no menos del 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Hexogen and cyclotetramethylenetetranitramine mixture, wetted
with not less than 15% water, by weight"
,,391,"Mezcla de RDX y ciclotetrametilentetramina, desensibilizada
con el 10% ó más de flemador, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"RDX and cyclotetramethylenetetranitramine mixture, desensitized
with 10% or more phlegmatizer, by weight"
,,391,"Mezcla de RDX y ciclotetrametilentetramina, humidificada
con el 15% ó más en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"RDX and cyclotetramethylenetetranitramine mixture, wetted
with 15% or more water, by weight"
,,392,Hexanitroestilbeno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Hexanitrostilbene
,,393,Hexotonal,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Hexotonal
,,394,"Ácido estífnico, humidificado
con no menos del 20% de agua o mezcla de alcohol y agua, por peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Styphnic acid, wetted
with not less than 20% water, or mixture of alcohol and water, by weight"
,,394,"Trinitroresorcinol, humidificado
con 20% ó más, por peso, de agua o de una mezcla de alcohol y agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitroresorcinol, wetted
with 20% or more water, or mixture of alcohol and water, by weight"
,,395,"Motores de cohete, de combustible líquido †",1.2J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rocket motors, liquid fuelled †"
,,396,"Motores de cohete, de combustible líquido †",1.3J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rocket motors, liquid fuelled †"
,,397,"Cohetes de combustible líquido † 
con carga explosiva",1.1J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets, liquid fuelled † 
with bursting charge"
,,398,"Cohetes de combustible líquido † 
con carga explosiva",1.2J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets, liquid fuelled † 
with bursting charge"
,,399,"Bombas que contienen líquido inflamable † 
con carga explosiva",1.1J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Bombs with flammable liquid † 
with bursting charge"
,,400,"Bombas que contienen líquido inflamable † 
con carga explosiva",1.2J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Bombs with flammable liquid † 
with bursting charge"
,,401,"Sulfuro de dipicrilo
seco o humidificado con menos del 10%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Dipicryl sulphide
dry or wetted with less than 10% water, by weight"
,,402,Perclorato amónico,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A22,1L,Ammonium perchlorate
,,403,Bengalas aéreas †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,"Flares, aerial †"
,,404,Bengalas aéreas †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,135,25 kg,135,100 kg,A802,3L,"Flares, aerial †"
,,405,Cartuchos para señales †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,135,25 kg,135,100 kg,A802,3L,"Cartridges, signal †"
,,406,Dinitrosobenceno,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Dinitrosobenzene
,,407,Ácido tetrazol-1-acético,1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,114,75 kg,A802,1L,Tetrazol-1-acetic acid
,,408,"Espoletas detonantes † 
con dispositivos de protección",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Fuzes, detonating † 
with protective features"
,,409,"Espoletas detonantes † 
con dispositivos de protección",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Fuzes, detonating † 
with protective features"
,,410,"Espoletas detonantes † 
con dispositivos de protección",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,141,75 kg,A802,1L,"Fuzes, detonating † 
with protective features"
,,411,"Tetranitrato de pentaeritrita
con el 7% ó más de cera, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythrite tetranitrate
with 7% or more wax, by weight"
,,411,"Tetranitrato de pentaeritritol
con el 7% ó más de cera, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythritol tetranitrate
with 7% or more wax, by weight"
,,411,"TNPE
con el 7% ó más de cera, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"PETN
with 7% or more wax, by weight"
,,412,"Cartuchos para armas † 
con carga explosiva",1.4E,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Cartridges for weapons † 
with bursting charge"
,,413,"Cartuchos para armas, sin bala †",1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons, blank †"
,,414,Cargas propulsoras de artillería †,1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling, for cannon †"
,,415,Cargas propulsoras †,1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling †"
,,417,"Cartuchos para armas, con proyectil inerte †",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons, inert projectile †"
,,417,Cartuchos para armas de pequeño calibre †,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges, small arms †"
,,418,Bengalas de superficie †,1.1G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Flares, surface †"
,,419,Bengalas de superficie †,1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Flares, surface †"
